video_name,vid,resolution,width,height,pixfmt,framerate,bitrate_rawvideo (kb/s),bitrate_encoded (kb/s),PSNR,VMAF,QP,target_encode_energy_uj,decode_energy_uj,total_energy_uj
Sports_2160P-1733,Sports_2160P-1733_downsample_720p,720,1280,720,yuv420p,30,2985997,78,25.557971,16.601429,50,803.3150189965986,47.07938933333333,850.3944083299319
Sports_2160P-1261,Sports_2160P-1261,2160,3840,2160,yuv420p,29.97002997,2983014,92149,52.471421,98.896975,10,22651.873898450445,1244.219013030303,23896.092911480748
Sports_2160P-1261,Sports_2160P-1261,2160,3840,2160,yuv420p,29.97002997,2983014,28572,45.873245,96.595345,20,16510.545682325777,739.1856647368421,17249.731347062618
Sports_2160P-1261,Sports_2160P-1261,2160,3840,2160,yuv420p,29.97002997,2983014,5833,40.902266,85.833948,30,11328.896166056516,358.96965857142857,11687.865824627945
Sports_2160P-1261,Sports_2160P-1261,2160,3840,2160,yuv420p,29.97002997,2983014,1276,35.688885,59.566219,40,8628.942226,225.157919,8854.100145277229
Sports_2160P-1261,Sports_2160P-1261,2160,3840,2160,yuv420p,29.97002997,2983014,409,30.469461,30.489131,50,6800.523530785276,241.91155,7042.435080785276
Sports_2160P-1261,Sports_2160P-1261_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,35519,41.637487,95.302881,10,6413.622165377824,649.2326894444446,7062.854854822269
Sports_2160P-1261,Sports_2160P-1261_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,8940,40.102759,88.793994,20,4155.589304383681,344.23624814102567,4499.825552524707
Sports_2160P-1261,Sports_2160P-1261_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,1800,37.061862,70.46458,30,2740.799280310157,165.77635936622806,2906.575639676385
Sports_2160P-1261,Sports_2160P-1261_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,404,32.522444,39.632104,40,2075.616248756788,107.22103440789476,2182.8372831646825
Sports_2160P-1261,Sports_2160P-1261_downsample_1080p,1080,1920,1080,yuv420p,29.97002997,2983014,126,27.928323,13.839861,50,1768.7203077362446,75.99943024404762,1844.719737980292
Sports_2160P-1261,Sports_2160P-1261_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,17234,36.110202,84.991142,10,3780.9271092286176,423.3414270574074,4204.268536286025
Sports_2160P-1261,Sports_2160P-1261_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,4281,35.534348,75.577616,20,2353.872268116096,222.59248152638887,2576.464749642485
Sports_2160P-1261,Sports_2160P-1261_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,934,33.771087,53.48501,30,1494.7378772975735,131.83702159090907,1626.5748988884827
Sports_2160P-1261,Sports_2160P-1261_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,204,30.374642,24.984513,40,1073.270431497253,69.6473313,1142.9177627972529
Sports_2160P-1261,Sports_2160P-1261_downsample_720p,720,1280,720,yuv420p,29.97002997,2983014,64,26.470413,5.104224,50,900.4677074420292,50.04712913636365,950.5148365783928
Gaming_2160P-2dc4,Gaming_2160P-2dc4,2160,3840,2160,yuv420p,59.94006309,5956076,132223,50.641759,98.610209,10,33752.49489599266,2001.8522612745091,35754.34715726717
Gaming_2160P-2dc4,Gaming_2160P-2dc4,2160,3840,2160,yuv420p,59.94006309,5956076,28064,45.109978,94.87006,20,21598.82185828828,997.4409434782611,22596.262801766537
Gaming_2160P-2dc4,Gaming_2160P-2dc4,2160,3840,2160,yuv420p,59.94006309,5956076,5384,40.319748,81.486881,30,15486.987075726274,582.2658722727273,16069.25295
Gaming_2160P-2dc4,Gaming_2160P-2dc4,2160,3840,2160,yuv420p,59.94006309,5956076,1157,35.978119,52.369128,40,12703.163681718754,453.65451722222224,13156.818198940977
Gaming_2160P-2dc4,Gaming_2160P-2dc4,2160,3840,2160,yuv420p,59.94006309,5956076,436,32.458929,18.07171,50,11521.96069346666,382.1264666666667,11904.087160133327
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5956076,33574,41.468575,90.367897,10,11.3808325,842.3742893333329,853.7551218333329
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5956076,7552,39.98631,82.752275,20,5571.439061776065,448.8001602155171,6020.239221991582
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5956076,1615,37.278468,62.319744,30,3906.373194860812,270.7388332877358,4177.112028148547
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5956076,357,33.901474,29.796339,40,3289.9167137815894,185.5773971851852,3475.4941109667743
Gaming_2160P-2dc4,Gaming_2160P-2dc4_downsample_1080p,1080,1920,1080,yuv420p,59.94006309,5956076,132,30.882082,3.207578,50,3198.020614580448,145.27366199999997,3343.294276580448
